time,lasttime,lat,lng,speed,course,altitude,comment
2025-02-21 17:31:36,2025-02-21 17:31:36,38.57800,-89.26550,130,94,15228.72," StrTrk 86 9 1.44V -33C 11764Pa "
2025-02-21 17:32:36,2025-02-21 17:32:36,38.57700,-89.24017,122,90,15504.57," StrTrk 87 9 1.43V -33C 11251Pa "
2025-02-21 17:33:36,2025-02-21 17:34:09,38.57567,-89.21817,122,98,15783.76," StrTrk 88 9 1.43V -32C 10765Pa "
2025-02-21 17:34:36,2025-02-21 17:34:36,38.57317,-89.19650,107,102,16045.59," StrTrk 89 9 1.43V -31C 10318Pa "
2025-02-21 17:35:36,2025-02-21 17:35:36,38.56983,-89.17483,120,98,16301.62," StrTrk 90 9 1.43V -31C 9896Pa "
2025-02-21 17:36:36,2025-02-21 17:36:36,38.56683,-89.15317,106,100,16583.56," StrTrk 91 9 1.44V -32C 9449Pa "
2025-02-21 17:37:36,2025-02-21 17:37:36,38.56600,-89.13283,106,83,16877.69," StrTrk 92 9 1.43V -32C 9001Pa "
2025-02-21 17:38:36,2025-02-21 17:38:36,38.56617,-89.11383,102,92,17166.64," StrTrk 93 9 1.44V -32C 8582Pa "
2025-02-21 17:39:36,2025-02-21 17:39:36,38.56517,-89.09633,98,93,17461.69," StrTrk 94 9 1.44V -32C 8172Pa "
2025-02-21 17:40:36,2025-02-21 17:40:36,38.56417,-89.07883,91,101,17748.81," StrTrk 95 9 1.44V -32C 7788Pa "
2025-02-21 17:41:36,2025-02-21 17:41:36,38.56350,-89.06283,89,108,18035.63," StrTrk 96 9 1.44V -32C 7433Pa "
2025-02-21 17:42:36,2025-02-21 17:42:36,38.55933,-89.04617,78,101,18300.80," StrTrk 97 9 1.44V -32C 7104Pa "
2025-02-21 17:43:36,2025-02-21 17:43:36,38.55533,-89.03150,76,115,18586.70," StrTrk 98 9 1.44V -31C 6779Pa "
2025-02-21 17:44:36,2025-02-21 17:44:36,38.55167,-89.01767,67,116,18878.70," StrTrk 99 9 1.45V -30C 6466Pa "
2025-02-21 17:45:36,2025-02-21 17:45:36,38.54867,-89.00467,76,114,19168.87," StrTrk 100 9 1.45V -30C 6170Pa "
2025-02-21 17:46:36,2025-02-21 17:46:36,38.54500,-88.99200,67,111,19437.71," StrTrk 101 9 1.45V -29C 5897Pa "
2025-02-21 17:47:36,2025-02-21 17:47:36,38.54233,-88.97983,70,93,19717.82," StrTrk 102 9 1.45V -29C 5627Pa "
2025-02-21 17:48:36,2025-02-21 17:48:36,38.54017,-88.96767,63,104,20005.85," StrTrk 103 9 1.45V -29C 5369Pa "
2025-02-21 17:49:36,2025-02-21 17:49:36,38.53750,-88.95667,56,107,20301.81," StrTrk 104 9 1.45V -28C 5115Pa "
2025-02-21 17:50:36,2025-02-21 17:50:36,38.53367,-88.94567,63,122,20591.98," StrTrk 105 9 1.47V -28C 4878Pa "
2025-02-21 17:51:36,2025-02-21 17:51:36,38.52983,-88.93500,63,107,20880.93," StrTrk 106 9 1.46V -27C 4663Pa "
2025-02-21 17:52:36,2025-02-21 17:52:36,38.52667,-88.92617,43,114,21193.96," StrTrk 107 9 1.47V -27C 4413Pa "
2025-02-21 17:53:36,2025-02-21 17:53:36,38.52483,-88.91650,59,95,21507.91," StrTrk 108 9 1.46V -26C 4203Pa "
2025-02-21 17:54:36,2025-02-21 17:54:36,38.52333,-88.90517,52,95,21814.84," StrTrk 109 9 1.46V -25C 3990Pa "
2025-02-21 17:55:36,2025-02-21 17:55:36,38.52083,-88.89233,69,104,22113.85," StrTrk 110 9 1.47V -25C 3806Pa "
2025-02-21 17:56:36,2025-02-21 17:56:36,38.51750,-88.87883,78,108,22405.85," StrTrk 111 9 1.46V -25C 3613Pa "
2025-02-21 17:57:36,2025-02-21 17:57:36,38.51233,-88.86600,72,114,22721.93," StrTrk 112 9 1.47V -24C 3437Pa "
2025-02-21 18:00:36,2025-02-21 18:00:36,38.49850,-88.83033,72,119,23640.90," StrTrk 115 9 1.47V -23C 2964Pa "
2025-02-21 18:00:56,2025-02-21 18:00:56,38.50300,-88.84317,78,113,23340.97," StrTrk 114 9 1.47V -23C 3103Pa "
2025-02-21 18:01:36,2025-02-21 18:01:36,38.49367,-88.81800,81,116,23952.10," StrTrk 116 9 1.48V -22C 2822Pa "
2025-02-21 18:02:36,2025-02-21 18:02:36,38.49067,-88.80650,59,108,24294.08," StrTrk 117 9 1.47V -22C 2647Pa "
2025-02-21 18:03:36,2025-02-21 18:03:36,38.48800,-88.79483,61,100,24626.01," StrTrk 118 9 1.48V -21C 2473Pa "
2025-02-21 18:04:36,2025-02-21 18:04:36,38.48550,-88.78267,61,110,24945.14," StrTrk 119 9 1.48V -21C 2408Pa "
2025-02-21 18:05:36,2025-02-21 18:05:36,38.48283,-88.77033,81,103,25262.13," StrTrk 120 9 1.48V -20C 2217Pa "
2025-02-21 18:06:36,2025-02-21 18:06:36,38.47983,-88.75583,80,101,25583.08," StrTrk 121 9 1.49V -19C 2179Pa "
2025-02-21 18:07:36,2025-02-21 18:07:36,38.47367,-88.73950,102,124,25897.03," StrTrk 122 9 1.49V -19C 2060Pa "
2025-02-21 18:08:36,2025-02-21 18:10:32,38.46667,-88.72350,100,109,26224.99," StrTrk 123 9 1.48V -18C 1960Pa "
2025-02-21 18:10:48,2025-02-21 18:10:48,38.46517,-88.70667,91,80,26555.09," StrTrk 124 9 1.49V -17C 1851Pa "
2025-02-21 18:11:36,2025-02-21 18:11:36,38.46333,-88.66733,111,96,27212.24," StrTrk 126 9 1.49V -15C 1685Pa "
2025-02-21 18:12:36,2025-02-21 18:12:36,38.46100,-88.64817,91,94,27550.26," StrTrk 127 9 1.48V -15C 1599Pa "
2025-02-21 18:13:36,2025-02-21 18:13:36,38.46200,-88.62933,117,72,27888.29," StrTrk 128 9 1.50V -14C 1515Pa "
2025-02-21 18:14:36,2025-02-21 18:14:36,38.46617,-88.60883,111,79,28214.12," StrTrk 129 9 1.50V -13C 1450Pa "
2025-02-21 18:15:36,2025-02-21 18:15:36,38.46883,-88.58917,113,88,28540.25," StrTrk 130 9 1.50V -12C 1386Pa "
2025-02-21 18:16:36,2025-02-21 18:16:36,38.47200,-88.56567,133,79,28869.13," StrTrk 131 9 1.51V -11C 1317Pa "
2025-02-21 18:17:36,2025-02-21 18:17:36,38.47467,-88.54067,135,86,29184.30," StrTrk 132 9 1.50V -10C 1266Pa "
2025-02-21 18:18:36,2025-02-21 18:18:36,38.47483,-88.51650,135,89,29508.30," StrTrk 133 9 1.51V -09C 1202Pa "
2025-02-21 18:19:36,2025-02-21 18:19:36,38.47633,-88.49433,113,70,27732.23," StrTrk 134 9 1.51V -14C 1561Pa "
2025-02-21 18:20:36,2025-02-21 18:20:36,38.47383,-88.47667,85,131,25683.97," StrTrk 135 9 1.51V -21C 2176Pa "
2025-02-21 18:21:36,2025-02-21 18:21:36,38.47033,-88.46367,70,123,23881.99," StrTrk 136 9 1.49V -27C 2819Pa "
2025-02-21 18:22:36,2025-02-21 18:22:36,38.46567,-88.45200,83,107,22254.06," StrTrk 137 9 1.48V -31C 3685Pa "
2025-02-21 18:23:36,2025-02-21 18:23:36,38.46367,-88.44050,52,105,20797.72," StrTrk 138 9 1.46V -35C 4680Pa "
2025-02-21 18:27:36,2025-02-21 18:27:36,38.45483,-88.37783,113,97,16317.77," StrTrk 142 9 1.42V -43C 9880Pa "
2025-02-21 18:28:36,2025-02-21 18:28:36,38.45233,-88.35633,150,95,15437.51," StrTrk 143 9 1.40V -43C 11408Pa "
2025-02-21 18:29:36,2025-02-21 18:29:36,38.45167,-88.32700,167,90,14687.70," StrTrk 144 9 1.41V -43C 12914Pa "
2025-02-21 18:30:36,2025-02-21 18:30:36,38.45100,-88.29917,174,95,13948.56," StrTrk 145 9 1.41V -43C 14541Pa "
2025-02-21 18:31:36,2025-02-21 18:31:36,38.44883,-88.26850,174,90,13252.40," StrTrk 146 9 1.41V -43C 16235Pa "
2025-02-21 18:32:36,2025-02-21 18:32:36,38.44867,-88.23583,172,99,12630.61," StrTrk 147 9 1.40V -42C 17926Pa "
2025-02-21 18:33:36,2025-02-21 18:33:36,38.44817,-88.20233,157,89,12019.48," StrTrk 148 9 1.41V -42C 19716Pa "
2025-02-21 18:34:36,2025-02-21 18:34:36,38.44600,-88.17033,189,92,11447.37," StrTrk 149 9 1.40V -42C 21556Pa "
2025-02-21 18:35:36,2025-02-21 18:35:36,38.44167,-88.13617,187,93,10915.50," StrTrk 150 9 1.41V -43C 23457Pa "
2025-02-21 18:36:36,2025-02-21 18:36:36,38.43667,-88.09817,222,92,10388.50," StrTrk 151 9 1.41V -42C 25491Pa "
2025-02-21 18:37:36,2025-02-21 18:37:36,38.43350,-88.05767,194,93,9894.42," StrTrk 152 9 1.40V -41C 27512Pa "
2025-02-21 18:38:36,2025-02-21 18:38:36,38.43083,-88.02017,167,97,9430.21," StrTrk 153 9 1.42V -40C 29463Pa "
2025-02-21 18:39:36,2025-02-21 18:39:36,38.42600,-87.98233,224,102,9003.18," StrTrk 154 9 1.41V -39C 31401Pa "
2025-02-21 18:40:36,2025-02-21 18:40:36,38.42167,-87.94167,207,94,8574.33," StrTrk 155 9 1.43V -37C 33442Pa "
2025-02-21 18:41:36,2025-02-21 18:41:36,38.41800,-87.90600,165,100,8127.19," StrTrk 156 9 1.44V -34C 35620Pa "
2025-02-21 18:42:36,2025-02-21 18:42:36,38.41600,-87.87467,150,94,7712.35," StrTrk 157 9 1.44V -33C 37806Pa "
2025-02-21 18:43:36,2025-02-21 18:43:36,38.41450,-87.84250,183,94,7292.34," StrTrk 158 9 1.46V -31C 40073Pa "
2025-02-21 18:44:36,2025-02-21 18:44:36,38.41250,-87.81100,137,99,6902.20," StrTrk 159 9 1.46V -29C 42352Pa "
2025-02-21 18:45:36,2025-02-21 18:45:36,38.40917,-87.78333,120,103,6512.05," StrTrk 160 9 1.47V -27C 44672Pa "
2025-02-21 18:46:36,2025-02-21 18:46:36,38.40533,-87.76167,111,97,6147.21," StrTrk 161 9 1.48V -26C 46965Pa "
2025-02-21 18:47:36,2025-02-21 18:47:36,38.40200,-87.74400,94,95,5789.98," StrTrk 162 9 1.48V -24C 49288Pa "
2025-02-21 18:48:36,2025-02-21 18:48:36,38.39783,-87.72767,83,98,5451.04," StrTrk 163 9 1.48V -22C 51644Pa "
2025-02-21 18:49:36,2025-02-21 18:49:36,38.39450,-87.71450,61,118,5115.15," StrTrk 164 9 1.48V -20C 54029Pa "
2025-02-21 18:50:36,2025-02-21 18:50:36,38.39167,-87.70317,65,120,4785.06," StrTrk 165 9 1.49V -18C 56501Pa "
2025-02-21 18:51:36,2025-02-21 18:51:36,38.38900,-87.69367,63,114,4447.03," StrTrk 166 9 1.50V -16C 59005Pa "
2025-02-21 18:52:36,2025-02-21 18:52:36,38.38717,-87.68617,46,123,4133.09," StrTrk 167 9 1.50V -15C 61545Pa "
2025-02-21 18:53:36,2025-02-21 18:53:36,38.38700,-87.67900,31,72,3824.02," StrTrk 168 9 1.50V -13C 64038Pa "
2025-02-21 18:54:36,2025-02-21 18:54:36,38.38800,-87.67167,24,56,3531.11," StrTrk 169 9 1.51V -11C 66541Pa "
2025-02-21 18:55:36,2025-02-21 18:55:36,38.38817,-87.66633,33,75,3239.11," StrTrk 170 9 1.51V -09C 69154Pa "
2025-02-21 18:56:36,2025-02-21 18:56:36,38.38800,-87.66167,26,85,2949.85," StrTrk 171 9 1.51V -8C 71771Pa "
2025-02-21 18:57:36,2025-02-21 18:57:36,38.38717,-87.65800,28,118,2659.99," StrTrk 172 9 1.52V -6C 74417Pa "
2025-02-21 18:58:36,2025-02-21 18:58:36,38.38567,-87.65533,4,62,2381.10," StrTrk 173 9 1.52V -4C 77122Pa "
2025-02-21 18:59:36,2025-02-21 18:59:36,38.38600,-87.65400,17,86,2107.08," StrTrk 174 9 1.53V -4C 79901Pa "
2025-02-21 19:00:36,2025-02-21 19:00:36,38.38650,-87.65333,11,145,1837.94," StrTrk 175 9 1.54V -4C 82625Pa "
2025-02-21 19:01:36,2025-02-21 19:01:36,38.38683,-87.65383,17,236,1591.06," StrTrk 176 9 1.54V -3C 85285Pa "
2025-02-21 19:02:36,2025-02-21 19:02:36,38.38633,-87.65483,9,265,1336.85," StrTrk 177 9 1.53V -2C 88127Pa "
2025-02-21 19:03:36,2025-02-21 19:03:36,38.38533,-87.65600,13,292,1079.91," StrTrk 178 9 1.53V -1C 90983Pa "
2025-02-21 19:04:36,2025-02-21 19:04:36,38.38517,-87.65583,7,345,831.80," StrTrk 179 9 1.54V -3C 93915Pa "
2025-02-21 19:05:36,2025-02-21 19:05:36,38.38533,-87.65467,22,84,603.81," StrTrk 180 9 1.53V -5C 96868Pa "
2025-02-21 19:06:38,2025-02-21 19:06:38,38.38517,-87.65250,13,64,349.91," StrTrk 181 9 1.53V -4C 100026Pa "
